No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
10098,14717395EC1C649CF38CD5865DC2C4,2016-12-01 04:59:57,760442,1.423363,103.845473,2016-12-01 11:18:41,819642,1.362159,103.990051,2/12/2016,65.49569646,30,68,27.0
10951,F54CE61D9BC9A9750FCF834692BF87,2016-12-01 05:32:04,530531,1.375767,103.890172,2016-12-01 14:45:50,738099,1.435855,103.786222,2/12/2016,87.40864266,33,88,19.0
10695,039F7FFF23491C8F95EBF31E55D5C5,2016-12-01 05:22:39,530683,1.373235,103.886822,2016-12-01 23:43:33,536740,1.350969,103.884094,2/12/2016,65.85890383,32,142,19.0
14623,AF120C79778AB83ABD7217868AAA04,2016-12-01 06:47:34,819643,1.355322,103.988337,2016-12-01 14:56:28,819642,1.362159,103.990051,2/12/2016,67.29606354,41,90,17.0
10247,6B6099C5572A87355B050E3A7769FB,2016-12-01 05:05:43,158746,1.290559,103.815628,2016-12-01 14:50:28,456065,1.319784,103.91667,2/12/2016,64.16602343,30,89,3.0
21472,29E04FB657A1F1A23EF7923F515408,2016-12-01 08:30:50,440055,1.305504,103.91385,2016-12-01 21:15:43,425718,1.313179,103.912192,2/12/2016,76.03570778,51,128,15.0
21532,DB274DB6DB507C26771D824135D30B,2016-12-01 08:31:53,531174,1.349319,103.888378,2016-12-01 15:30:05,498935,1.359062,103.975483,2/12/2016,99.30272585,51,93,19.0
13478,5223321F3B575F9C4F689A74F139E7,2016-12-01 06:28:45,650325,1.36233,103.747058,2016-12-01 12:37:07,138675,1.305259,103.790705,2/12/2016,64.22154188,39,76,23.0
22762,1B483C4B2BCDE876375EB88BE8224A,2016-12-01 09:01:07,760821,1.41341,103.833978,2016-12-01 21:46:59,768828,1.423798,103.838436,2/12/2016,90.6819822,54,131,27.0
3764,D1AB8AD51E29280FC553E47EB98F27,2016-12-01 00:16:02,819643,1.355322,103.988337,2016-12-01 22:56:28,520323,1.35171,103.95841,2/12/2016,64.79267281,2,138,17.0
15066,790EC36222EC89BBD8F6FC234882CD,2016-12-01 06:54:47,249613,1.303691,103.823069,2016-12-01 18:55:16,98382,1.299509,103.837,2/12/2016,86.00629077,41,114,10.0
16696,9B6825999F3F3579068C9DBF038B4C,2016-12-01 07:18:49,791443,1.39117,103.874321,2016-12-01 14:36:53,319377,1.338568,103.851669,2/12/2016,64.23750829,44,88,28.0
15136,964942213D2B49E13887A200E7A0A1,2016-12-01 06:56:00,530686,1.375776,103.88545,2016-12-01 18:13:00,531685,1.375927,103.886496,2/12/2016,96.87749068,42,109,19.0
19277,1E4704E4A5A55F3AB7BDA0F097EEE7,2016-12-01 07:54:53,530308,1.36678,103.895678,2016-12-01 10:25:55,18989,1.282387,103.852437,2/12/2016,72.13183667,47,62,19.0
13568,903450F9B8CB04DCE323AC79A1171D,2016-12-01 06:30:19,680141,1.380345,103.752691,2016-12-01 09:42:10,398828,1.311866,103.880665,2/12/2016,68.82991383,39,58,23.0
16441,C7EDBB5A20A5D8C81586926E4E33E1,2016-12-01 07:15:15,530716,1.367097,103.886881,2016-12-01 12:43:47,638059,1.307787,103.628645,2/12/2016,91.40699028,44,76,19.0
